,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
87,0.003274549162877735,0.07564475835527287,-0.0005408184339960952,-0.0031302519043233516,2377.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
91,0.004750810162102803,0.075644758327452,-0.0007229455574722862,-0.0031302519043233494,2213.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
55,0.0001668100537200059,0.07564475828696443,-4.7712339486891134e-05,-0.003130251904323348,3691.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
86,0.0029836472402833404,0.07564475830452062,-0.0005025059336626808,-0.003130251904323347,2418.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
25,1.023531021899027e-05,0.075644758271882,-4.7762382013972696e-06,-0.0031302519043233455,4924.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
67,0.0005094138014816386,0.07564475820169896,-0.00011996161667069828,-0.0031302519043233455,3198.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
92,0.005214008287999695,0.07564475825079443,-0.000776512014759712,-0.003130251904323344,2172.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
93,0.00572236765935022,0.07564475814009285,-0.0008336186207753255,-0.003130251904323344,2131.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
85,0.002718588242732946,0.07564475823443559,-0.0004667644481399479,-0.003130251904323342,2459.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
5,1.5922827933410906e-06,0.0756447581471622,-1.0844468409613619e-06,-0.003130251904323339,5748.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.6666666666666666,0 days 00:00:18.381961
