,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,runtime
47,2.656087782946684e-05,0.12063766384091448,-0.0001067596957922456,-0.00186799746018294,5024.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
64,8.697490026177834e-05,0.12063766359735732,-0.00011941497655294037,-0.0018679974601829323,4500.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
96,0.0008111308307896872,0.12063766346530448,-0.00021147980793704993,-0.001867997460182926,3516.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
2,1.1497569953977357e-06,0.12063766309449801,-0.00010038903957847738,-0.0018679974601829117,6420.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
39,1.5199110829529363e-05,0.12063766277774157,-0.00010401819368705888,-0.0018679974601829023,5271.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
54,4.328761281083062e-05,0.12063766275242294,-0.0001105456106658307,-0.0018679974601829017,4808.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
77,0.00021544346900318823,0.12063766258434579,-0.0001408131140484299,-0.0018679974601828943,4100.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
73,0.0001629750834620645,0.12063766243286096,-0.00013266393121689525,-0.0018679974601828885,4223.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
81,0.0002848035868435805,0.12063766236477398,-0.00015076229307777218,-0.0018679974601828844,3977.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
10,2.0092330025650458e-06,0.12063766188365999,-0.00010061982463893352,-0.001867997460182869,6170.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
85,0.00037649358067924713,0.12063766188904788,-0.00016288371352758346,-0.0018679974601828687,3854.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
48,2.8480358684358048e-05,0.12063766179947737,-0.00010720824801751796,-0.0018679974601828664,4993.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
69,0.0001232846739442067,0.12063766175774594,-0.00012600946889508192,-0.0018679974601828648,4346.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
5,1.4174741629268049e-06,0.1206376615449134,-0.0001004610599996047,-0.0018679974601828572,6326.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
40,1.629750834620647e-05,0.12063766132392625,-0.00010429012571695276,-0.0018679974601828492,5240.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
89,0.0004977023564332114,0.12063766123346199,-0.00017763092018515452,-0.0018679974601828458,3731.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
60,6.579332246575683e-05,0.1206376611067167,-0.00011526973035082287,-0.0018679974601828412,4623.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
93,0.0006579332246575682,0.12063766044307037,-0.0001955550780524373,-0.0018679974601828156,3608.0,1.0,-0.0,-0.08333333333333333,-0.16666666666666666,-0.25,-0.3333333333333333,-0.41666666666666663,-0.5,-0.5833333333333333,-0.6666666666666666,-0.75,-0.8333333333333333,-0.9166666666666666,1000000,0,12,0.1,1.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,0 days 00:01:14.948516
