,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
65,9.326033468832199e-05,0.036818839842407775,-5.6607560893372135e-05,-0.002467974513336268,3642.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
0,1e-06,0.03681883983830582,-1.992760046130499e-06,-0.002467974513336268,5645.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
7,1.6297508346206435e-06,0.03681883980187935,-2.7441404790917185e-06,-0.002467974513336265,5429.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
88,0.0004641588833612782,0.03681883983351654,-0.0001985651003428549,-0.002467974513336265,2934.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
70,0.00013219411484660315,0.036818839745401635,-7.443525822802548e-05,-0.002467974513336257,3488.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
25,5.72236765935022e-06,0.03681883973159761,-6.658147187863128e-06,-0.002467974513336255,4874.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
84,0.0003511191734215135,0.03681883964965716,-0.00015988503975802371,-0.0024679745133362463,3057.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
75,0.00018738174228603868,0.036818839605293634,-9.78689548988325e-05,-0.0024679745133362437,3334.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
1,1.0722672220103232e-06,0.03681883954374019,-2.0839947502301563e-06,-0.0024679745133362302,5614.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
41,1.747528400007683e-05,0.03681883950433531,-1.5428994138114822e-05,-0.002467974513336229,4381.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
36,1.2328467394420658e-05,0.03681883949974581,-1.1829671748081434e-05,-0.002467974513336229,4535.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
14,2.6560877829466896e-06,0.03681883952621807,-3.8339708760372126e-06,-0.002467974513336228,5213.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
51,3.5111917342151415e-05,0.03681883949520116,-2.6402537438000725e-05,-0.0024679745133362276,4073.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
56,4.977023564332114e-05,0.03681883948505887,-3.463076906953628e-05,-0.0024679745133362246,3919.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
46,2.477076355991714e-05,0.03681883949884166,-2.0164143315550608e-05,-0.002467974513336224,4227.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
31,8.697490026177835e-06,0.036818839452964165,-9.091738534398203e-06,-0.0024679745133362237,4689.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
20,4.037017258596549e-06,0.03681883949028006,-5.162094948634827e-06,-0.0024679745133362224,5028.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
97,0.0008697490026177843,0.03681883944222074,-0.0003214410572677618,-0.0024679745133362224,2657.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
61,7.054802310718646e-05,0.03681883945255976,-4.548525371428789e-05,-0.002467974513336222,3765.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
8,1.747528400007683e-06,0.036818839458335036,-2.8759394856931955e-06,-0.002467974513336221,5398.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
93,0.0006579332246575682,0.036818839421759,-0.0002598001209844884,-0.0024679745133362155,2780.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
80,0.0002656087782946689,0.036818839412290395,-0.00012860513564447233,-0.0024679745133362146,3180.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
66,0.0001000000000000001,0.03681883938630541,-5.9792685635611836e-05,-0.002467974513336212,3611.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,0,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,ramp,-0.5,0 days 00:01:05.821645
