,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma0_11,Gamma0_12,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,Gamma11,Gamma12,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime
91,1e-06,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,1e-06,0.001,0.06064357894129833,0.0649256722111121,0.0012570634371847854,0.060085120597891006,0.018014441749201474,0.058183510161560426,0.024491291908963733,0.05695729716444119,0.021990395554107433,0.06230476157496661,0.014122223309681384,0.0019542751338029385,-6.412890108146143e-05,-0.002491886308231629,11097.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
65,1e-06,1e-06,0.001,0.001,0.001,0.001,0.001,0.001,1e-06,0.001,0.001,0.001,0.0606484786666323,0.06491932006790249,0.0012656424644069766,0.060077077507895184,0.018023086733089826,0.058174149752664536,0.02449989825579763,0.05694742537973228,0.022003589107035575,0.06228943324310167,0.014142098949555414,0.0019311686451696387,-0.000282285762229389,-0.00249188627476225,10586.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
57,1e-06,1e-06,0.001,0.001,1e-06,1e-06,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.06056810104859918,0.06482826537475044,0.0012666225347280611,0.059988809417005275,0.01800376903479349,0.05808463613276227,0.02447235961387805,0.0568582805501656,0.021983635661038736,0.06218752133266703,0.01413928659846102,0.001910265678801561,-0.00019216478376606007,-0.002491886263054105,10689.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
49,1e-06,1e-06,0.001,1e-06,0.001,1e-06,0.001,0.001,0.001,1e-06,1e-06,0.001,0.06065004273752397,0.06491908153568753,0.0012676597792555895,0.060073915462857966,0.018029145896739013,0.05816741628537156,0.024507366054807012,0.0569395047323859,0.02201515326929529,0.06227660099126771,0.014159298606163561,0.0019114034054501594,-0.00019968249382284532,-0.0024918862617643745,11166.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
4,1e-06,0.001,0.001,0.001,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,0.06050992115710902,0.06490971043450222,0.0011400669235262207,0.0601525393778023,0.017781649255655122,0.05836328852020052,0.024209785090677866,0.05719028102487526,0.021521608463623724,0.06275599486622688,0.013397049861382666,0.0027849508128638396,-0.00017183523571881248,-0.0024918862448474063,10334.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
24,0.001,1e-06,1e-06,0.001,1e-06,1e-06,0.001,0.001,1e-06,0.001,0.001,0.001,0.060666566177533854,0.06489562284497563,0.0012916354308388817,0.06006634685314279,0.018019273203947615,0.058190120934714894,0.024481785806867554,0.056977542439881665,0.02195697734114008,0.0623516874521285,0.01406153547902269,0.0020262360156910212,-0.00017179166051085824,-0.0024918862126452283,8902.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
55,1e-06,0.001,1e-06,1e-06,0.001,0.001,1e-06,0.001,0.001,1e-06,1e-06,0.001,0.06055358068189546,0.06505067953859307,0.0010732080290128396,0.06030081867672288,0.017739059394755854,0.05851917773237728,0.024178068928593838,0.05734823648984898,0.021449130458681943,0.06296743398832179,0.013255238822852764,0.002973499111708992,-0.00021134474347046475,-0.002491886185877738,8766.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
60,0.001,1e-06,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,0.060592618924127706,0.06479472709040633,0.001293274045382351,0.06000184763932515,0.017944058563314803,0.05818153284491384,0.024372364291616804,0.056998487133815424,0.021774519437177745,0.0624537338718354,0.013789322245030086,0.0023233177643410988,-0.00010264245751777244,-0.0024918861534006104,10423.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
92,0.001,0.001,1e-06,1e-06,0.001,1e-06,1e-06,1e-06,1e-06,0.001,0.001,0.001,0.06064395614847192,0.0649261321513049,0.0012665009669802782,0.060055001645451994,0.018071511663437134,0.05810464965620067,0.024569231487524785,0.056855435775424006,0.022136742018508796,0.06212239312386101,0.014361700004532706,0.001671359143167689,-0.00015124678783372822,-0.0024918861283338653,9808.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
21,0.001,1e-06,1e-06,0.001,0.001,0.001,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.06067239142179311,0.0648857352472394,0.0012879620336978066,0.06010094399996238,0.01794263077116104,0.05829954857442935,0.02437156154834564,0.05712526753650315,0.021738687336860244,0.06262567718880775,0.013698311995368593,0.0024546488923605793,-0.0002369721041830564,-0.002491886097019263,9238.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
15,1e-06,0.001,1e-06,0.001,0.001,1e-06,0.001,1e-06,1e-06,0.001,0.001,0.001,0.0605634360180419,0.06483459427624351,0.0012699025831014016,0.05996117004947838,0.018062212656963075,0.05800034828959929,0.024555836023128327,0.05674572397836594,0.022148429576395415,0.06197935793192951,0.01441536468900221,0.0015821963586293052,-0.0002243372332270837,-0.0024918860388716316,9808.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
47,1e-06,1e-06,0.001,0.001,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.001,0.001,0.06059920240807453,0.06478485347964802,0.0013223821560888035,0.059937256216837445,0.018054896432727268,0.05803010465503237,0.024520007413226925,0.05680447588086349,0.022051698445529976,0.06210820938336578,0.01424041721848893,0.0017924080296336713,-0.00014434787664509196,-0.0024918860342978497,10914.0,1.0,-0.0,-0.041666666666666664,-0.08333333333333333,-0.125,-0.16666666666666666,-0.20833333333333331,-0.25,-0.29166666666666663,-0.3333333333333333,-0.375,-0.41666666666666663,-0.4583333333333333,1000000,30,12,0.1,3.0,0.1,0,11,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:20:24.854784
