,Gamma0,Gamma,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,profile,Delta,runtime
88,0.003593813663804633,0.07738448923315702,-0.00035590085492486276,-0.002084154521671844,2324.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
16,4.430621457583877e-06,0.07738448922724013,-1.7416317986757884e-06,-0.0020841545216718433,5283.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
49,9.545484566618347e-05,0.07738448919702744,-1.8473269601641106e-05,-0.0020841545216718424,3926.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
60,0.0002656087782946689,0.07738448922478174,-4.2404405804029034e-05,-0.002084154521671842,3474.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
96,0.007564633275546291,0.07738448917599487,-0.0006382642983966769,-0.00208415452167184,1996.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
87,0.003274549162877735,0.07738448907762772,-0.0003303147638923361,-0.0020841545216718316,2365.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
71,0.000739072203352579,0.07738448897149659,-9.814121426304254e-05,-0.002084154521671828,3022.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
97,0.008302175681319761,0.07738448892803347,-0.0006850469130605273,-0.0020841545216718277,1955.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
29,1.4849682622544666e-05,0.07738448890819699,-4.273245416903702e-06,-0.0020841545216718272,4748.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
86,0.0029836472402833404,0.07738448889656689,-0.0003064940323121791,-0.0020841545216718255,2406.0,1.0,-0.0,-0.08333333333333334,-0.16666666666666669,-0.25,-0.33333333333333337,-0.41666666666666674,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,ramp,-0.8333333333333334,0 days 00:00:35.410323
