,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
25,25,25,97,0.0006508303349,0.0020657626605558,3.0078372632977045e-06,2.098504373687985e-05,0.0002045999218583,7.288764354217743e-05,5.066739345093725e-06,3.348824168161025e-05,0.0809316377374627,0.1360143584478291,0.0158663725849309,0.153807069167568,0.0086342947624358,0.1597629662544613,0.0001102346662571,0.0690756407285262,-8.895614008748285e-05,-0.0031784203224036,12473.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.075644757268258,1.0854323848733312,1.05955412358577,-0.0031302519043232
26,26,26,95,1.229959616205984e-05,0.0008097734317796,0.0008523833767096,8.190416024466163e-06,1.2993534941888975e-05,2.2713738502881777e-05,8.07345316021199e-05,5.902611493908543e-06,0.0809318464021387,0.1360150915708145,0.0158662825453583,0.1538078707160131,0.0086342652507309,0.1597636126612091,0.0001103902064423,0.0690757621386242,-9.041218941664312e-05,-0.0031784203185601,14549.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447578001746,1.0854322160410996,1.059554123397332,-0.0031302519043233
27,27,27,78,0.0001509953035884,0.0026564719691577,1.3473863129132775e-05,0.0001045838123108,0.0016878625270011,4.477058953348168e-05,1.1890037052030393e-06,4.287717215360468e-06,0.0810447837500323,0.1362084704819585,0.0158892827418555,0.154027592698744,0.0086472798735814,0.1599923985920798,0.0001111840691849,0.0691730744858483,-0.0001547472358719,-0.0031784202994794,11896.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447573142383,1.0853509491128153,1.0595541235694812,-0.0031302519043232
28,28,28,69,5.668195180444558e-05,0.0004747357727453,4.767269311319195e-05,0.0008744862297476,0.0025884046324839,1.887858649135552e-06,1.5382984457569172e-06,2.1712997294867585e-06,0.0810448772161733,0.1362081818368455,0.0158895018667117,0.1540271435217711,0.0086476896214647,0.1599917279425412,0.0001118391259238,0.0691723362389065,-0.0001226295920684,-0.0031784202833317,14030.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447586563499,1.0853507150539374,1.0595541230940202,-0.0031302519043233
29,29,29,22,0.0005178757351603,8.716304661411634e-05,0.0004548344442398,1.3782865127042137e-06,4.594514460636749e-05,1.913880364587664e-05,5.55632263538144e-05,0.0020204286502018,0.0809328949469171,0.1360131010549224,0.0158680048620683,0.153805307429649,0.008636241671484,0.1597612076434758,0.0001120662625983,0.0690738521563085,-5.3136492001989504e-05,-0.0031784202771708,13688.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447568305234,1.08543089525522,1.059554123740842,-0.0031302519043232
30,30,30,36,0.0005241522115921,0.0008400618344558,4.630869788970808e-05,0.0003346212609924,0.0013369180803259,0.0085798599009586,2.8363639715197927e-06,1.04064527964172e-06,0.0809333363992887,0.1360125835874666,0.0158686089315201,0.1538045933856482,0.0086369687585632,0.1597604873344208,0.0001127597071209,0.0690731496931683,-0.000162218956539,-0.0031784202600471,13090.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447589783029,1.085430357434261,1.0595541229799643,-0.0031302519043233
31,31,31,19,0.0015143131890233,2.965976045805838e-06,0.0016788889345969,0.0019015854178345,0.0001010460124978,0.0045209390207208,1.1202532967302436e-05,0.0056340323571253,0.0810849619585775,0.1361649063363263,0.015935753698157,0.1539810277556467,0.008683946587159,0.1599746854923496,0.0001131514407996,0.0691740821634951,-0.0002521280713245,-0.0031784202449179,8971.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447583808192,1.0853230421326785,1.0595541231916306,-0.0031302519043233
32,32,32,25,0.0001807073502237,0.0023145842542329,0.0004152298757628,1.135199741944863e-06,0.000322448488174,2.389402687717728e-05,3.1040102824831028e-06,0.0005224990116578,0.0809342124266896,0.1360122031633433,0.015869533188933,0.153804034149658,0.0086379464128943,0.1597601066062295,0.0001134613002828,0.0690726507821367,-0.000116208616462,-0.0031784202426868,13426.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.075644758271882,1.085429469089738,1.059554123230223,-0.0031302519043233
33,33,33,64,0.0074522719992698,0.0007850280107983,0.0013933416397623,5.893986694008753e-06,1.75836340115425e-05,0.0009309032291939,0.0003423330629706,0.0003323878380577,0.0809352126378645,0.1360099105983236,0.015871329797022,0.1538011206053894,0.0086400018022847,0.1597573797261448,0.0001151789604779,0.0690705936659026,-0.0001552232279645,-0.0031784202002525,12054.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447574938333,1.0854281636420295,1.0595541235058563,-0.0031302519043233
34,34,34,38,1.6433630376864823e-05,6.892446952004862e-05,9.521352946631812e-05,1.1869436904865128e-05,0.0004865741702661,0.0015189408380395,4.345349123405888e-05,0.0007756053392782,0.0810478284153882,0.1362049924954298,0.0158933837286446,0.1540229020644342,0.0086519840377519,0.1599880248714306,0.0001152302637609,0.0691690302813235,-2.864015438843399e-05,-0.0031784201995446,12027.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666666,-0.5,-0.5833333333333333,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:02:18.973132,0.0756447563717748,1.08534739910552,1.0595541239033592,-0.0031302519043232
