,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,runtime,Gamma,cohlength,ucohlength,ueta
20,20,20,41,1.2877240188127815e-06,0.0006512632822683,1.0741787055389989e-05,0.005898108776245,0.0001559515644018,2.6056336190112674e-06,4.0666285594844086e-05,0.0001757757849633,4.847361157995866e-05,0.00013001521465,0.0946445080745693,0.0771795955529228,0.0693021513779752,0.0892551924361605,0.0714882415539859,0.0917869437031351,0.0698423195351069,0.1007572312981089,0.0587112596389206,0.0471436856316259,-9.885906892672778e-05,-0.0020925305466144,8680.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.077384490211677,1.2411133171413935,1.2418975205880187,-0.0020841545216718
21,21,21,12,8.985392293441419e-05,9.043621180034126e-05,7.803682836087394e-05,0.0050329627455273,1.3391782048190234e-05,5.0882011205986936e-06,0.0016431891209904,1.4873484093761232e-05,0.0006310595845262,0.0068774496787409,0.0946413139985622,0.077179534773209,0.0693026283251189,0.0892549726373851,0.0714882330399921,0.09178640175417,0.0698422390937343,0.1007571337266211,0.0587113337256361,0.0471437498357456,-0.0001064267976604,-0.002092530546608,8321.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844899632982,1.241113462712342,1.24189752036511,-0.0020841545216718
22,22,22,3,0.0029070188298495,2.8197650536076206e-06,0.0025753946567234,1.120195386028111e-06,0.0036222854420222,1.406986362122106e-06,6.837256686839729e-06,4.1155455115338055e-06,0.0001888616510006,6.0050241441911605e-05,0.0946469074128942,0.0771772130744992,0.0693049888728093,0.0892157212898154,0.0714907838703361,0.0917839226469713,0.0698446714559809,0.1007547139327172,0.0587142598212888,0.047140642374483,-0.000130872569294,-0.0020925305466033,9905.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844866538258,1.241099864175661,1.2418975173949758,-0.0020841545216716
23,23,23,56,2.7463647243010552e-05,0.0003195828802284,4.18905281604243e-05,0.0027204027593846,3.107554205196718e-06,2.0738205134584968e-05,3.3923036635151705e-06,0.0017464204022702,3.971390454501129e-05,0.0002935008376727,0.0945022325962165,0.0770936392243453,0.0691918152708523,0.0891771865034184,0.0713741301919734,0.091721247780366,0.0697320966747697,0.1006628181049826,0.0586194537442338,0.0470865281105598,-7.158488700821641e-05,-0.0020925305465983,7602.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844875745959,1.2410509481696956,1.2418975182213343,-0.0020841545216717
24,24,24,78,0.0003075149672905,0.0001767252476182,0.0002436412482685,0.0001511705342751,1.232279132349759e-06,0.0004316796408166,0.0002406944437981,0.0023942799628209,1.8210175965507765e-06,3.967939254773326e-06,0.0945130698388272,0.0770767484549463,0.069198607526325,0.0891343974469585,0.0713790866977708,0.0916613448376902,0.0697345989391231,0.1006194952599969,0.0586298593209254,0.0471191937223759,-3.504792905186652e-05,-0.0020925305465891,9134.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844868011577,1.241027547829834,1.241897517527203,-0.0020841545216717
25,25,25,14,0.0001583561075833,0.0010654566312243,0.001522509614016,2.891980957002111e-06,0.0002433838225982,0.000265502669833,0.0050244568349494,0.0025341018378861,0.000177711148241,1.993034503575872e-05,0.0946442721125192,0.0771462801699364,0.0692669012939745,0.0892521281663696,0.0714820816681628,0.0917840592169871,0.0698403702706758,0.1007534056722011,0.0587104897198743,0.0471406605664882,-0.0001114186968044,-0.0020925305465811,7545.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844874104976,1.241128940393574,1.2418975180740623,-0.0020841545216717
26,26,26,90,0.0014372775706509,0.0086099483710344,3.789822665526421e-05,0.0077425079102766,0.0001113900370484,0.0088713033200874,0.0013120081068661,5.766619668711052e-05,1.7007248702117592e-06,5.363860729016001e-06,0.0946438814564786,0.0771804640864291,0.0693013651008697,0.0892566878614065,0.0714870493463972,0.0917880950129645,0.0698410158878704,0.1007592922796108,0.0587091802969479,0.0471221178028183,-0.0003511512138168,-0.0020925305465698,8188.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844894587721,1.2411103172742997,1.2418975199123137,-0.0020841545216718
27,27,27,43,0.0001609357979312,0.0009585036821048,0.0008289893453193,1.3207042128275471e-06,3.7487810016330098e-06,0.0008119609964464,3.0984710754777855e-05,0.0002778094993079,1.431144265284836e-05,0.009307453334033,0.0946479928730896,0.077132647710852,0.069271564642255,0.0891903963283414,0.0714536397075873,0.0917157909225662,0.0698483159635856,0.1007177998200574,0.0587155665255664,0.0471349699005687,-5.012129670063909e-05,-0.0020925305465498,7484.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844865614469,1.241091199231254,1.2418975173120688,-0.0020841545216716
28,28,28,86,0.0066675169959528,0.0088683901083424,1.3008431304783724e-05,7.86759295338365e-06,0.002097169131281,2.5600388067667063e-06,0.0009011094993898,0.00167512367747,8.655011332930229e-05,0.0006186768781007,0.0945123099703007,0.0770635289808548,0.0692193813573949,0.0891207284968985,0.071415350197571,0.0916517996536597,0.0697430455677363,0.1006119907154353,0.0586286911288886,0.0470776924646545,-0.0001307297541497,-0.0020925305465425,7688.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844888965668,1.2410200522284267,1.2418975194077566,-0.0020841545216718
29,29,29,70,0.0078428988451267,3.073912029954576e-06,0.0082268670069704,0.0002187191819104,1.562908436150119e-05,0.0014288675283706,0.000355636307525,0.0020569377135143,1.5870275694035017e-06,0.0032906173344907,0.0945327355782836,0.0770902996724734,0.0692220015839589,0.08910682882817,0.0714016288014608,0.0916383338107589,0.0697540826774036,0.1005992867583358,0.0586405658195214,0.0470632070615337,-0.0001403509559594,-0.0020925305465122,9979.0,1.0,-0.0,-0.0833333333333333,-0.1666666666666666,-0.25,-0.3333333333333333,-0.4166666666666667,-0.5,-0.5833333333333334,-0.6666666666666667,-0.7500000000000001,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.01,1e-07,1.0,1e-08,adamax,0,0.0,ramp,0 days 00:04:55.229488,0.0773844886022554,1.2409976562213771,1.2418975191436223,-0.0020841545216718
