,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
23,23,23,23,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.3026648059395688,0.0002379404420922,0.9202835598764398,0.2953214151959586,1.0000081895117583,0.0009842268059014,0.0555770820490766,0.000799711769307,0.1551062784158263,-0.0008699307994044,-0.0011562138927138,5395.0,0.0,0.0168272846802129,0.3035089265995107,0.9990258823239376,0.2621467961899895,0.849044521859272,0.6056831486557043,0.8060357075271236,0.6303177554434782,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3075662455535046,0 days 02:59:44.995636,0.0008699832670438,1.5513102540146038,1.3748735301133177
24,24,24,24,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.0001027057012671,0.7239105736632866,0.6770014869488966,1.603014650272648e-05,4.306677846065674e-06,0.2754550405840338,2.770818250620618e-05,3.1950962066106605e-06,-0.0011394770383338,-0.0015149137836696,8975.0,1.0,0.3626968570578484,0.7607887845834825,0.0264845489039723,0.4468129517344519,0.371854569870106,0.4770740056373495,0.1276206864960696,0.2225068659462724,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2521833816242977,0 days 02:59:44.995636,0.0011395284161001,1.8781753994965804,1.434810165997243
25,25,25,25,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1747772774464679,0.1075893244645297,0.5584443581643351,0.0173323220469775,0.0854966098616743,3.521356378344796e-07,0.2415262362451676,1.413129910118094e-07,0.5382239102698488,-0.0014722906324101,-0.001602964578628,100000.0,0.0,0.5620515900997094,0.3877691156559539,0.7916562055903406,0.6051365892775145,0.8612666847869941,0.7323608373256045,0.601823447758565,0.2876156021959957,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1737321265328644,0 days 02:59:44.995636,0.0014723057033372,1.911724250893183,1.5835258783237132
26,26,26,26,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,0.3444087275973818,1.0000797386633522,0.0436504215292951,0.6179627176632566,0.7907362473623504,0.0350756978595511,0.1340535986344967,0.0447490999830434,0.0973791589623702,-0.0008987875788225,-0.0011970542916968,1001.0,0.0,0.7827604679261685,0.2512675781710818,0.0752111118144044,0.9628645784432278,0.5400112050964692,0.7738942975498113,0.5292228076303601,0.6115797303718215,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3422034769376265,0 days 02:59:44.995636,0.0008988020850385,1.5042297478244544,1.3072124414120885
27,27,27,27,0.5074705239490462,0.5074705239490462,0.5074705239490462,0.5074705239490462,0.5074705239490462,0.5074705239490462,0.5074705239490462,0.5074705239490462,0.2068165213002801,0.5186011698385,0.2510921484725967,0.2210767408145512,0.4999448069003501,1.000089805634336,0.3665251498761959,0.2460115762574236,-0.0006185964403872,-0.0006751130651997,488.0,0.0,0.0338922505165062,0.1867936793538085,0.6746893954347775,0.5705645979524983,0.1585550339867126,0.9520292687261848,0.1543536325474043,0.5103032497386853,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.5107973918935711,0 days 02:59:44.995636,0.0006186066729456,1.217283024512974,1.2085317931078743
28,28,28,28,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.1925613572129196,0.2666657495938493,0.6894417277152517,0.0962424696572756,3.609361003213459e-06,0.0199878530603145,8.032137748057026e-06,5.356078292482687e-06,0.5847197908325197,-0.0014004135818823,-0.001861569651334,9395.0,1.0,0.1440028750192576,0.7173717261062347,0.2763130140951527,0.1341339751217832,0.0459871806705156,0.1748355378976236,0.1917987167235664,0.5369720795717926,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1903526730783544,0 days 02:59:44.995636,0.001400466807671,1.9106697220291866,1.4253445481338303
29,29,29,29,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.8409490695124836,0.167672956980308,0.1798570901811714,0.17159311416151,0.1808781542714934,0.172060234220881,0.4823461543186227,1.000928176840324,-0.0007263858865696,-0.0009389658954076,410.0,0.0,0.4510388861713912,0.9572943672535372,0.9541513368666424,0.7965461104684304,0.6715876339807033,0.8450230915683464,0.9387518284798846,0.0226177288870027,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4320360030536689,0 days 02:59:44.995636,0.0007263859483203,1.2861340391308929,1.1013404048772002
30,30,30,30,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,0.1692220351641035,1.2409225009047918e-06,1.044714155659115e-06,0.0230244658252444,0.6991208227366916,0.0198151080334243,4.54708684101171e-06,4.56665445255329e-06,0.2376653471545988,-0.0014596385947694,-0.0019959326369269,9232.0,1.0,0.1181052271508587,0.3602638846836431,0.0935868530425997,0.5995244730532772,0.2603642223481086,0.2643397291323255,0.2883279886478656,0.09771565758439,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1701509643505213,0 days 02:59:44.995636,0.0014596503184298,2.34802616390846,1.66071265507806
31,31,31,31,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.1678217661224981,5.629559012530714e-05,0.2058950893506131,0.6615608991010422,2.1706656939256983e-05,0.4599464427432307,0.303029856790646,3.068272313992102e-05,-0.0009371988657857,-0.0010503078120999,8229.0,1.0,0.7409444532381589,0.6506724295996501,0.6065080906412624,0.0340455822777754,0.4294641446388775,0.6852035898998426,0.1563466499035863,0.3856578446575508,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3078208979291261,0 days 02:59:44.995636,0.000937270014591,1.661642104440073,1.3660879955278558
32,32,32,32,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.31260072430687,0.1488570033380588,6.985557533914554e-05,0.4567689607282784,2.1856392766675925e-05,0.0170819254847244,0.7667963977628872,1.4160013136646766e-05,0.466170560158526,-0.0009503248701358,-0.001092647673198,8622.0,1.0,0.0198341454699368,0.081857997077242,0.2164535799990539,0.4146501611412486,0.4632400362873798,0.884521531618113,0.3166584421740133,0.0214638762771913,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3129225641590858,0 days 02:59:44.995636,0.0009503253412913,1.7261366645661327,1.2215869690669965
33,33,33,33,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,0.3794532847236935,1.0002020940224312,0.2257789615809019,0.6855504532021808,0.5448333464211635,0.4069369487003634,0.2189236400237048,0.1815495539947295,0.1637389811890905,-0.0008347302890414,-0.0009508462907275,433.0,0.0,0.8262233467711652,0.0618469353735727,0.0929919926622283,0.963181716739735,0.7533654181283584,0.337854202779255,0.1321788416191956,0.3867305731718615,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3842251392340359,0 days 02:59:44.995636,0.0008347847739537,1.2008408618936222,1.2054146989358676
34,34,34,34,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.4317879727332017,0.1781153244746009,0.7103401811947074,0.0754693205109087,1.0000426203777928,0.3218722792919539,0.6837682988189366,0.1034532628250034,0.0758075646649153,-0.0007442980450495,-0.0008390174294856,991.0,0.0,0.3391948927801735,0.8744412014424732,0.41875301731404,0.082045006015622,0.9268052023585862,0.6223133637152601,0.1167098567810022,0.1131741600464223,100000,30,8,0.1,5.0,0.1,0,7,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.431477432506967,0 days 02:59:44.995636,0.0007442978832917,1.2615382733018066,1.2275020176397782
