,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Gamma0_1,Gamma0_2,Gamma0_3,Gamma0_4,Gamma0_5,Gamma0_6,Gamma0_7,Gamma0_8,Gamma0_9,Gamma0_10,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,Gamma10,eta0,eta,count,success,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,max_iter,min_iter,N,Jmax,alpha,gleak,ex,lk,rate,minGg,maxGg,minGo,maxGo,tol,optim,exfix,exval,profile,seed,Gamma,runtime,ueta,cohlength,ucohlength
10,10,10,10,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.4913407286296357,0.1429076490357666,0.4883495928800795,0.1413528252177051,0.1343087036735651,0.2443463479448428,0.3261746581728221,0.1372466515386076,0.4440614715165399,1.0000112835689647,0.4825510964588688,-0.0004336179401361,-0.0004893456086601,939.0,0.0,0.6538660110683944,0.4312267487774062,0.8673205056421992,0.632135117500167,0.8102743521062991,0.341794723940113,0.5436692896684556,0.1962968851147534,0.996141190118628,0.2432154643063271,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.489885409866375,0 days 05:32:02.756286,0.0004336192360905,1.6649208086613574,1.5467224142086722
11,11,11,11,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.2337423870891812,0.21673995598744,5.737598646563582e-05,0.7972148107509462,0.0020635958284043,0.2640661583148593,0.5141219275288471,0.086244583777785,5.403261261960488e-05,0.2537269503021296,1.861301598359414e-05,-0.0007979068358108,-0.0009034656961959,8071.0,1.0,0.2568674672271027,0.0731900723909659,0.2578031189967366,0.7631285325440532,0.6978935706830813,0.1286732123171694,0.3762385014280942,0.4209213946174629,0.6649842463619607,0.4559289630437488,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2374727904536215,0 days 05:32:02.756286,0.000797973519601,1.7724635364883052,1.6598447595005266
12,12,12,12,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.0977192128371799,0.5344819967835048,6.701507619849422e-06,0.554443762935482,7.349771205597381e-06,1.1348881071293905e-05,0.0821193004684339,0.1047525532245849,7.949536563827007e-05,2.1653423679013884e-05,6.69964165267289e-06,-0.0015363050560158,-0.0019566906539208,9225.0,1.0,0.5865183268255314,0.8396846036089424,0.7264736103123705,0.3650072635085589,0.4483963093444842,0.3676995696900066,0.1097346640066967,0.2032415440873966,0.2838064889441311,0.3141338956023022,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.0987211465440073,0 days 05:32:02.756286,0.0015363441111057,2.214880916544424,1.9187523621538858
13,13,13,13,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1638433645577982,0.1526570034439754,0.4705885860004949,0.2828527427449323,7.284460151665537e-06,7.552980747465391e-06,2.6246811747336737e-05,0.2433945613600309,0.03446688280507,0.3734450607717687,1.1864189839128596e-05,-0.0010478169674847,-0.0012267469445212,8513.0,1.0,0.3130478588199377,0.576699716252952,0.9716899756197548,0.774664134923732,0.7911339481728052,0.75926850053958,0.5969877305237564,0.9176922571709129,0.689630155447081,0.500356430736871,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.1648382032808469,0 days 05:32:02.756286,0.001047827833941,1.987577289103312,1.6534590027989409
14,14,14,14,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.2493409369951876,0.3546745480369195,0.4792557231458849,0.0202913644263266,0.0307438477457593,0.6764331329870974,3.4565016392733583e-06,0.0299005012914808,4.5862814516640605e-06,0.4464476525512478,0.2608509327456926,-0.0006690617775897,-0.0008716493851467,8899.0,1.0,0.0770838085005387,0.4884492270855238,0.2128309953403343,0.1326962975467872,0.506064922529373,0.785085292596959,0.2950064428055194,0.7687717599091665,0.5256295231622541,0.1490480233707125,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2516634910902666,0 days 05:32:02.756286,0.0006690754591662,1.7582657823467391,1.5986368402487101
15,15,15,15,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.3557150206821381,0.4710254136984895,0.1972803595511292,0.8360226640845315,7.078358952767644e-07,0.808924831179396,0.3262619712960284,0.4058101185281719,6.086134307234745e-06,0.1767832909040832,0.7792180626658367,-0.0005197031455941,-0.0005685558288448,100000.0,0.0,0.9649677439797356,0.4016362238885175,0.2952342556626958,0.8469983706337296,0.1244603325154798,0.7335904610737034,0.1878247425654683,0.3924917760125824,0.2318998784621384,0.8412279926923869,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.3590773248361979,0 days 05:32:02.756286,0.000519715881535,1.7228615636553117,1.6960856297629665
16,16,16,16,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.293044697697214,0.6031248653902819,0.603594834836179,1.7910079627674988e-05,2.693080952885782e-05,0.3108231767935297,4.462402976122107e-05,0.7490043525562493,5.070879241059688e-06,0.2999745577348436,4.386723215140544e-06,-0.0004965755133816,-0.0007482350003034,8799.0,1.0,0.3900745519398617,0.9746928128822892,0.6252614844151068,0.6936228347029152,0.5215251221324175,0.3089681990755911,0.3955564210524287,0.9409341876619016,0.2012032007246644,0.9882189012202124,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.292610541685339,0 days 05:32:02.756286,0.000496575559387,1.8034320855604362,1.6043225428174208
17,17,17,17,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.4047756965997316,0.0498572081635913,0.1815928011615237,0.2032365317266598,0.0892376416976982,0.3867538518805209,0.020876056361078,0.186690836252157,0.023262391109647,1.000024357196177,0.3826631636049286,-0.0005023893977252,-0.0006408050298577,1305.0,0.0,0.7583058620038184,0.3597869264926102,0.6415135895056033,0.3809815392930875,0.38149293263992,0.5038029501945296,0.016722821635377,0.4935715599433962,0.971598413446888,0.2854652287855784,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4008160858400709,0 days 05:32:02.756286,0.0005024062002605,1.9268856995299666,1.5649125906729247
18,18,18,18,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.4757236139187883,0.2733517162916971,0.2193207091585127,0.2663008790249094,1.000264228250467,0.4207651590159175,0.7783210099620432,0.2551072834602367,0.7814839594716096,0.1920929495968966,0.2463496327261764,-0.0004186663830984,-0.0004564752981078,493.0,0.0,0.7482179590766121,0.442788890070495,0.2092810426177854,0.9050025708181296,0.0168272846802129,0.3035089265995107,0.9990258823239376,0.2621467961899895,0.849044521859272,0.6056831486557043,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.4787874842773966,0 days 05:32:02.756286,0.0004186720704953,1.6898586398487703,1.6716047773748484
19,19,19,19,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.2414157116103016,0.242659363947972,5.146441556887596e-05,0.2513518965048523,0.4256689057147621,0.7579437146113733,0.0001407013160167,1.6993317967690465e-05,0.2018706613210288,0.1535902719850708,1.2906347633052102e-05,-0.000764654936147,-0.0009493632588209,8372.0,1.0,0.8060357075271236,0.6303177554434782,0.3626968570578484,0.7607887845834825,0.0264845489039723,0.4468129517344519,0.371854569870106,0.4770740056373495,0.1276206864960696,0.2225068659462724,100000,30,10,0.1,3.0,0.1,0,9,0.001,1e-06,0.001,1e-07,1.0,1e-08,adamax,0,0.0,disordered,1,0.2428061468391493,0 days 05:32:02.756286,0.0007646637554334,1.8393651228422003,1.717025975022369
